title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,url,categoryName,categories/5,categories/6,categories/7,categories/8,categories/9,imageUrl
Hutan Bambu Keputih Surabaya,4.3,5997.0,"PR42+8MH, Jl. Raya Marina Asri",Surabaya,Jawa Timur,ID,,,Tujuan Wisata,Taman,,,,https://www.google.com/maps/search/?api=1&query=Hutan%20Bambu%20Keputih%20Surabaya&query_place_id=ChIJm65_0wD51y0RR9_wOsHde2M,Tujuan Wisata,,,,,,
Kebun Bibit Wonorejo,4.5,7516.0,"Kebun Bibit, Jl. Raya Kendalsari",Surabaya,Jawa Timur,ID,,,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Kebun%20Bibit%20Wonorejo&query_place_id=ChIJ06Uh84z61y0RGsrhKPw1AqI,Taman Kota,,,,,,
Food Junction Grand Pakuwon,4.6,24232.0,Jalan Grand Banjar Mutiara Asri No.1,Surabaya,Jawa Timur,ID,,+62 31 99019500,Pujasera,,,,,https://www.google.com/maps/search/?api=1&query=Food%20Junction%20Grand%20Pakuwon&query_place_id=ChIJ2WuzA17-1y0RZMTX0eDCr4c,Pujasera,,,,,,
Taman Prestasi Surabaya,4.6,9362.0,Jl. Ketabang Kali No.6,Surabaya,Jawa Timur,ID,,,Taman Kota,Taman bermain,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Prestasi%20Surabaya&query_place_id=ChIJM0bxy2b51y0R6tnC3CZbEqM,Taman Kota,,,,,,
Museum Mpu Tantular,4.5,3938.0,"Jl. Raya Buduran - Jembatan Layang, Jl. K.H Ali Mas'ud",Kabupaten Sidoarjo,Jawa Timur,ID,https://museummputantular.com/,+62 31 8056688,Museum,Museum Sejarah,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Mpu%20Tantular&query_place_id=ChIJTfvU0mP51y0Rn60bIXMRUv0,Museum,,,,,,
Taman Bungkul,4.6,58316.0,Jl. Taman Bungkul,Surabaya,Jawa Timur,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Bungkul&query_place_id=ChIJjSU3GL771y0RP1aWZQsG5G0,Taman Kota,,,,,,
Taman Flora,4.7,10757.0,"PQ36+PMW, Jl. Raya Bratang Binangun",Surabaya,Jawa Timur,ID,,,Taman Ekologi,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Flora&query_place_id=ChIJk0V_gLL71y0R1uFIBdNr0FE,Taman Ekologi,,,,,,
Taman Keputran,4.3,92.0,Jl. Kayoon No.90,Surabaya,Jawa Timur,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Keputran&query_place_id=ChIJ4bkYbdz71y0RaqZ8xyq3WrY,Taman,,,,,,
Monumen Tugu Pahlawan dan Museum Sepuluh Nopember Surabaya,4.7,27200.0,Jl. Pahlawan,Surabaya,Jawa Timur,ID,,+62 31 3571100,Museum,Bangunan Bersejarah,Museum Sejarah,Tujuan Wisata,,https://www.google.com/maps/search/?api=1&query=Monumen%20Tugu%20Pahlawan%20dan%20Museum%20Sepuluh%20Nopember%20Surabaya&query_place_id=ChIJXbwBwD_51y0Rvj_Cptg4DhE,Museum,,,,,,
Patung Brahma 4 Rupa,4.4,689.0,Jl. Pantai Ria Kenjeran No.8,Surabaya,Jawa Timur,ID,,,Patung,Wisata,Monumen,Tujuan Wisata,,https://www.google.com/maps/search/?api=1&query=Patung%20Brahma%204%20Rupa&query_place_id=ChIJ8UUMq-f51y0RKr5A897dLk8,Patung,,,,,,
Museum TNI AL Loka Jala Crana,4.5,620.0,"Akademi TNI Angkatan Laut, Jl. Moro Krembangan",Surabaya,Jawa Timur,ID,,+62 31 3291092,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Museum%20TNI%20AL%20Loka%20Jala%20Crana&query_place_id=ChIJVVVVVSr51y0RCKxta94ZZQI,Museum,,,,,,
Masjid Muhammad Cheng Hoo Surabaya,4.7,7663.0,Jl. Gading No.2,Surabaya,Jawa Timur,ID,http://chenghoo.co/,+62 31 5342224,Masjid,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Masjid%20Muhammad%20Cheng%20Hoo%20Surabaya&query_place_id=ChIJd288Zbf51y0ROVlc8QPEMkw,Masjid,,,,,,
Masjid Nasional Al-Akbar Surabaya,4.9,8357.0,Jl. Masjid Al-AkbarTimur No.1,Surabaya,Jawa Timur,ID,http://www.masjidalakbar.or.id/,+62 877-7690-9667,Masjid,,,,,https://www.google.com/maps/search/?api=1&query=Masjid%20Nasional%20Al-Akbar%20Surabaya&query_place_id=ChIJq9-2z6n71y0RBhIk7xBy_gY,Masjid,,,,,,
Kenjeran Park,4.2,6243.0,"PQWW+XQ7, Jl. Sukolilo Larangan",Surabaya,Jawa Timur,ID,,+62 31 3821351,Taman Ekologi,,,,,https://www.google.com/maps/search/?api=1&query=Kenjeran%20Park&query_place_id=ChIJ1cOeu-_51y0Rqk3v60UXZwA,Taman Ekologi,,,,,,
Gereja Katolik Kelahiran Santa Perawan Maria,4.8,1407.0,Jl. Kepanjen No.4-6,Surabaya,Jawa Timur,ID,https://www.instagram.com/komsos_kelsapa,+62 31 3551077,Gereja Katolik,,,,,https://www.google.com/maps/search/?api=1&query=Gereja%20Katolik%20Kelahiran%20Santa%20Perawan%20Maria&query_place_id=ChIJRbz5dz751y0RdzUY_4NFDnQ,Gereja Katolik,,,,,,
Kelenteng Sanggar Agung Kenjeran,4.6,2834.0,Jl. Sukolilo No.100,Surabaya,Jawa Timur,ID,,+62 31 3816133,Kuil Penganut Agama Tao,Vihara,Tempat Ibadah,,,https://www.google.com/maps/search/?api=1&query=Kelenteng%20Sanggar%20Agung%20Kenjeran&query_place_id=ChIJ4zsiCLn51y0Rav-xKjrIOjI,Kuil Penganut Agama Tao,,,,,,
Atlantis Land,4.3,2856.0,Jl. Sukolilo Lor No.100,Surabaya,Jawa Timur,ID,,+62 822-8996-0900,Pusat Rekreasi,,,,,https://www.google.com/maps/search/?api=1&query=Atlantis%20Land&query_place_id=ChIJnS2yJcP51y0RosXnYIrfmYY,Pusat Rekreasi,,,,,,
Monumen Kapal Selam Surabaya,4.5,16770.0,Jl. Pemuda No.39,Surabaya,Jawa Timur,ID,http://www.monkasel-surabaya.com/,+62 31 5490410,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Monumen%20Kapal%20Selam%20Surabaya&query_place_id=ChIJ5SD1jWL51y0RC_s2AXJDdFc,Museum,,,,,,
Kebun Binatang Surabaya / Surabaya Zoo,4.4,56121.0,Jl. Setail No.1,Surabaya,Jawa Timur,ID,http://www.surabayazoo.co.id/,+62 31 5678703,Kebun Binatang,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Kebun%20Binatang%20Surabaya%20%2F%20Surabaya%20Zoo&query_place_id=ChIJrS98kZf71y0RzHThXy0SsSE,Kebun Binatang,,,,,,
Pantai Ria,4.2,4124.0,Jalan Sukolilo No.100,Surabaya,Jawa Timur,ID,,+62 31 3821350,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Pantai%20Ria&query_place_id=ChIJkTH0IC--eS4RKB_srdovXK0,Tujuan Wisata,,,,,,
Museum De Javasche Bank,4.7,1818.0,Jl. Garuda No.1,Surabaya,Jawa Timur,ID,,,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Museum%20De%20Javasche%20Bank&query_place_id=ChIJnZV67yL51y0R_HqP_VTUvd0,Museum,,,,,,
Balai Kota Surabaya,4.8,1710.0,Jl. Taman Surya No.1,Surabaya,Jawa Timur,ID,http://surabaya.go.id/,+62 31 5312144,Balai Kota,,,,,https://www.google.com/maps/search/?api=1&query=Balai%20Kota%20Surabaya&query_place_id=ChIJ89IIa2T51y0RWdw8G5i2iLg,Balai Kota,,,,,,
Taman Pelangi,4.5,7271.0,Jl. Ahmad Yani No.138,Surabaya,Jawa Timur,ID,,,Taman Kota,Taman,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Taman%20Pelangi&query_place_id=ChIJ_2f122n71y0RPZtTsCfbkyk,Taman Kota,,,,,,
Taman Barunawati,4.3,563.0,,Surabaya,Jawa Timur,ID,,,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Barunawati&query_place_id=ChIJ59Yf4tv41y0RCy3piKLCYjw,Taman Kota,,,,,,
Surabaya Museum (Gedung Siola),4.6,8236.0,Jl. Tunjungan No.1,Surabaya,Jawa Timur,ID,http://surabaya.go.id/,,Museum,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Surabaya%20Museum%20(Gedung%20Siola)&query_place_id=ChIJW_ddx0L51y0Ri1iJ27YVfsU,Museum,,,,,,
Gunungkentjang,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gunungkentjang&query_place_id=ChIJtfviIvxDQi4R9SsusB2RGVE,,,,,,,
Mengger,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mengger&query_place_id=ChIJ0WVQ-0c7Qi4RwA2koshdL10,,,,,,,
Alun-Alun Tigaraksa,4.4,3886.0,Jl. M. Atik Soeardia,Kabupaten Tangerang,Banten,ID,,,Taman,,,,,https://www.google.com/maps/search/?api=1&query=Alun-Alun%20Tigaraksa&query_place_id=ChIJM48IglQGQi4R70lXe2Z7II0,Taman,,,,,,
Taman Aspirasi Pemda Tigaraksa,4.4,580.0,PFJP+FCW,Kabupaten Tangerang,Banten,ID,,,Taman,,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Aspirasi%20Pemda%20Tigaraksa&query_place_id=ChIJBzuOjP8GQi4Rx78EN4Bjams,Taman,,,,,,
Taman Potret,4.5,7980.0,"RJ3J+WVG, Jl. Perintis Kemerdekaan, RT.001/RW.005",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Potret&query_place_id=ChIJpe-XqzP5aS4RW20zJ7Ekvq4,Taman,,,,,,
Taman Elektrik,4.7,1639.0,"RJHR+X2Q, Jl. Satria - Sudirman, RT.002/RW.001",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Elektrik&query_place_id=ChIJJaUmm8_4aS4RBTAlBnBQCl8,Taman,,,,,,
Taman CD PKN STAN,4.5,1111.0,Jl. Bintaro Utama 3A No.D,Kota Tangerang Selatan,Banten,ID,,,Taman,,,,,https://www.google.com/maps/search/?api=1&query=Taman%20CD%20PKN%20STAN&query_place_id=ChIJY7jTGHvwaS4RTTXtBgTL1mQ,Taman,,,,,,
Taman Balaikota Melayu Tangerang,4.5,3697.0,"RJJR+24F, Jl. Satria - Sudirman, RT.002/RW.001",Kota Tangerang,Banten,ID,,,Taman,,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Balaikota%20Melayu%20Tangerang&query_place_id=ChIJBRyRhM_4aS4R4UGr98RG1tc,Taman,,,,,,
Taman Pramuka,4.5,558.0,"Jl. Daan Mogot No.71, RT.001/RW.003",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Pramuka&query_place_id=ChIJHwSXuM74aS4RY5ksrIRu69s,Taman,,,,,,
Taman Dayung,4.5,1063.0,"RJHH+939, RT.002/RW.012",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Dayung&query_place_id=ChIJHZvfwTL_aS4RwiwTsxI1ZaM,Taman,,,,,,
Taman Ekspresi,4.5,1327.0,"QJQ7+MXF, Jl. Pandan Raya, RT.001/RW.012",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Ekspresi&query_place_id=ChIJTSU4Rbr-aS4ReGg4vH3lAqo,Taman,,,,,,
Taman Sari Lippo Karawaci,4.3,831.0,"Jalan Boulevar Palem Raya, Kelapa Dua, Bencongan",Kabupaten Tangerang,Banten,ID,,+62 857-1955-1918,Taman,,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Sari%20Lippo%20Karawaci&query_place_id=ChIJUa3d0hj8aS4RPmFOQFqwgWM,Taman,,,,,,
Imperial Klub Golf,4.5,2206.0,"Lippo Village, Jl. Pulau Golf No.2700",Kabupaten Tangerang,Banten,ID,https://www.aryaduta.com/en/wellness/ikg#,+62 811-9880-697,Klub Golf,Lapangan Golf,,,,https://www.google.com/maps/search/?api=1&query=Imperial%20Klub%20Golf&query_place_id=ChIJqydNHSP8aS4R0Db4921XAQ8,Klub Golf,,,,,,
Pondok Makan Sate Asmawi,4.3,2920.0,Jl. Ahmad Yani No.50A,Kota Cilegon,Banten,ID,,+62 254 377563,Restoran Sate,Rumah Makan,Restoran Indonesia,,,https://www.google.com/maps/search/?api=1&query=Pondok%20Makan%20Sate%20Asmawi&query_place_id=ChIJlbvWrNmNQS4RcdWKRaIc8Is,Restoran Sate,,,,,,
Cikande,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cikande&query_place_id=ChIJvQ0b1SsDQi4R2pXIs2qC1e0,,,,,,,
Rumah Makan Ibu Haji Ciganea,4.4,1760.0,"V5HM+MCR, Jl. Jend. Sudirman",Kota Serang,Banten,ID,,+62 813-8536-2523,Restoran Sunda,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Ibu%20Haji%20Ciganea&query_place_id=ChIJlcYOxBj1QS4RbnG_tOEHpxU,Restoran Sunda,,,,,,
Bakso Wisnu,4.4,739.0,Jl. Ciracas No.40,Kota Serang,Banten,ID,,,Restoran Bakso,Restoran Mie,,,,https://www.google.com/maps/search/?api=1&query=Bakso%20Wisnu&query_place_id=ChIJtf6SPcWKQS4RcKAvukRbsIQ,Restoran Bakso,,,,,,
Rabeg Khas Serang H. Naswi (Magersari),4.4,1053.0,Jl. Mayor Safei No.30,Kota Serang,Banten,ID,https://rabegkhasseranghnaswimagersari.shop/,,Restoran Sate,Kedai Sarapan,Restoran Indonesia,,,https://www.google.com/maps/search/?api=1&query=Rabeg%20Khas%20Serang%20H.%20Naswi%20(Magersari)&query_place_id=ChIJWZkW6CiLQS4RS4wqBUapZI4,Restoran Sate,,,,,,
"Mie Ayam Bakso ""Maju"" Mas Bakar",4.5,1202.0,"W43X+492, Jl. Kelapa Dua",Kota Serang,Banten,ID,,,Restoran Bakso,Restoran Mie,,,,https://www.google.com/maps/search/?api=1&query=Mie%20Ayam%20Bakso%20%22Maju%22%20Mas%20Bakar&query_place_id=ChIJ4y9SujeLQS4RwHkW4lMYPpk,Restoran Bakso,,,,,,
Dapoer Meneer,4.4,1698.0,"Karundang, Serang, Jl. Raya Serang - Pandeglang No.197",Kota Serang,Banten,ID,,+62 878-7718-1187,Restoran Hamburger,Restoran Indonesia,,,,https://www.google.com/maps/search/?api=1&query=Dapoer%20Meneer&query_place_id=ChIJx78m8zX1QS4RYzjlj96FlTU,Restoran Hamburger,,,,,,
SUSHI WA Serang,4.9,1323.0,Jl. Raya Cilegon Drangong Serang - Banten No.22,Kota Serang,Banten,ID,,+62 812-1314-715,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=SUSHI%20WA%20Serang&query_place_id=ChIJ_4Gn9maLQS4R_Lcdl3oQMyI,Restoran,,,,,,
Museum Situs Kepurbakalaan Banten Lama,4.4,1233.0,Jl. Masjid Agung Banten,Kota Serang,Banten,ID,,+62 877-7324-4482,Museum,Museum Sejarah,Tujuan Wisata,,,https://www.google.com/maps/search/?api=1&query=Museum%20Situs%20Kepurbakalaan%20Banten%20Lama&query_place_id=ChIJJV8kA9WMQS4RLOZKP1ttujI,Museum,,,,,,
Bendung Pamarayan,4.3,2187.0,Jl. Tambak Pamarayan No.Km.1,Kabupaten Serang,Banten,ID,,,Bendungan,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Bendung%20Pamarayan&query_place_id=ChIJQ7VgY7wbQi4R7z_yop6KiV8,Bendungan,,,,,,
Duren Story Warjok,4.7,8311.0,Jl. Ciwaru Raya No.12,Kota Serang,Banten,ID,https://www.instagram.com/durenstory,+62 877-7900-0017,Restoran,Kafe,,,,https://www.google.com/maps/search/?api=1&query=Duren%20Story%20Warjok&query_place_id=ChIJQYewmhIDQi4Rv5I3YAZye8M,Restoran,,,,,,
Gn. Karang,4.2,1136.0,,,,,,,Gunung berapi,,,,,https://www.google.com/maps/search/?api=1&query=Gn.%20Karang&query_place_id=ChIJi_VEz20kQi4RYenajk5xGHQ,Gunung berapi,,,,,,
Gunung Pinang,4.1,1323.0,W4V2+3F6,Kabupaten Serang,Banten,ID,,,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Gunung%20Pinang&query_place_id=ChIJnw4Ou2eMQS4ReZnoAPIcC3k,Tujuan Wisata,,,,,,
Wisata Air Kencana Tirta Eleven,4.2,1561.0,Jl. Baru Pemi,Kabupaten Tangerang,Banten,ID,,,Taman Rekreasi Air,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Wisata%20Air%20Kencana%20Tirta%20Eleven&query_place_id=ChIJBU6vXoIBQi4RbuFZxkMPfdc,Taman Rekreasi Air,,,,,,
Alun-Alun Kota Cilegon,4.4,7154.0,Jl. Jenderal Sudirman,Kota Cilegon,Banten,ID,https://youtube.com/@alun-alunclg?si=Su8tEnTCKH0KDpW9,+62 878-7705-2645,Taman Kota,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Alun-Alun%20Kota%20Cilegon&query_place_id=ChIJmXdXmz2OQS4RlxVpXd1iIcA,Taman Kota,,,,,,
Pesona Enasa Merak Hotel,4.1,1487.0,Jl. Pantura No.78,Kota Cilegon,Banten,ID,https://hotelpesonamerak.com/,+62 254 573614,Hotel,,,,,https://www.google.com/maps/search/?api=1&query=Pesona%20Enasa%20Merak%20Hotel&query_place_id=ChIJ85BQnVmQQS4Rs4PnGkbs-hA,Hotel,,,,,,
Selfie Time Cilegon Center Mall,5.0,4717.0,Jl. Ahmad Yani,Kota Cilegon,Banten,ID,https://selfietime.id/outlets/93fec856-ce2e-4fa2-875b-ed12ddd8b9c1,+62 877-4317-2290,Toko,,,,,https://www.google.com/maps/search/?api=1&query=Selfie%20Time%20Cilegon%20Center%20Mall&query_place_id=ChIJ-1Rmt02NQS4RBYDMAJ1nsZ0,Toko,,,,,,
Sanghyang Indah Spa Resort,4.4,2848.0,Jl. Raya Sirih No.KM. 128,Kabupaten Serang,Banten,ID,http://www.sanghyang.com/,+62 254 600888,Hotel Resor,Klub pantai,Spa Kesehatan,Bar Karaoke,Restoran Seafood,https://www.google.com/maps/search/?api=1&query=Sanghyang%20Indah%20Spa%20Resort&query_place_id=ChIJNXaQxLOFQS4RXTIooLrI1mQ,Hotel Resor,,,,,,
Cibanten,4.4,1430.0,Q2JW+JJR,Kabupaten Serang,Banten,ID,,,Tujuan Wisata,Taman,,,,https://www.google.com/maps/search/?api=1&query=Cibanten&query_place_id=ChIJa1mN0sYmQi4RzIWHqkj56pg,Tujuan Wisata,,,,,,
Wisata Agro Bukit Waruwangi,4.4,3170.0,Jl. Pasta,Kabupaten Serang,Banten,ID,,+62 878-5037-0680,Area Rekreasi Alam,Taman,Kolam Renang,Tujuan Wisata,,https://www.google.com/maps/search/?api=1&query=Wisata%20Agro%20Bukit%20Waruwangi&query_place_id=ChIJn9JvVhIpQi4RpzgkxPwsRBQ,Area Rekreasi Alam,,,,,,
Allisa Resort Hotel Anyer,4.3,1845.0,Jl. Raya Anyer-Sirih No.Km.127,Kabupaten Serang,Banten,ID,http://allisahotel.com/,+62 811-8841-154,Hotel Resor,,,,,https://www.google.com/maps/search/?api=1&query=Allisa%20Resort%20Hotel%20Anyer&query_place_id=ChIJpy8LBUaEQS4RCkR_KLnk3t4,Hotel Resor,,,,,,
"🍀Batukuwung |""Wisata Pemandian Air Panas Belerang & 🏊🏻‍♀️Aquatic""",4.1,1387.0,"QXRH+86J, Jl. Raya Palka No.KM.75",Kabupaten Serang,Banten,ID,,+62 878-7047-1090,Kolam renang luar ruangan,,,,,https://www.google.com/maps/search/?api=1&query=%F0%9F%8D%80Batukuwung%20%7C%22Wisata%20Pemandian%20Air%20Panas%20Belerang%20%26%20%F0%9F%8F%8A%F0%9F%8F%BB%E2%80%8D%E2%99%80%EF%B8%8FAquatic%22&query_place_id=ChIJdXF5eS4mQi4RqzT6zWolxHU,Kolam renang luar ruangan,,,,,,
Taman Wisata MBS,4.6,3963.0,Jl. Palenam,Kota Serang,Banten,ID,https://www.instagram.com/mahonibangunsentosa/,+62 818-0888-2771,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Wisata%20MBS&query_place_id=ChIJreSkj9ghQi4Rh2DSGWFMf0w,Tujuan Wisata,,,,,,
Carios,4.6,913.0,Jl. Maulana Hasanudin No.95,Kota Serang,Banten,ID,http://instagram.com/carios.id,+62 895-0704-1992,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Carios&query_place_id=ChIJd4OXx-2LQS4RsUChK2e7HHY,Kedai Kopi,,,,,,
CATTALEYA FOOD & BEVERAGE,4.6,635.0,Jl. Samaun Bakri No.43,Kota Serang,Banten,ID,,+62 878-8800-0786,Restoran Indonesia,,,,,https://www.google.com/maps/search/?api=1&query=CATTALEYA%20FOOD%20%26%20BEVERAGE&query_place_id=ChIJV73wT_X1QS4RGP-8WSdV0Bc,Restoran Indonesia,,,,,,
Pantai Tanjung Tum Anyer,4.1,728.0,,,,,http://www.survive-giezag.org/,,Pantai,,,,,https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Tum%20Anyer&query_place_id=ChIJJaSsyBSEQS4RrBgv-OA0zkY,Pantai,,,,,,
Kiara Coffee,4.6,653.0,"Jl. Agus Ju No.36, RT.1/RW.10",Kota Serang,Banten,ID,https://www.instagram.com/kiaracoffee.id/,+62 822-3141-0940,Kafe,,,,,https://www.google.com/maps/search/?api=1&query=Kiara%20Coffee&query_place_id=ChIJD8KySq31QS4RhKYB8e98D6M,Kafe,,,,,,
Pokel Garden Resto,4.5,1410.0,Jl. Perjuangan,Kota Serang,Banten,ID,http://instagram.com/pokelgarden,+62 877-8775-3918,Restoran,Gedung Pertemuan,Jasa Pernikahan,Gedung Pernikahan,,https://www.google.com/maps/search/?api=1&query=Pokel%20Garden%20Resto&query_place_id=ChIJCbHA6EiLQS4RMSH9yf7b-Pk,Restoran,,,,,,
Kopijalu,4.4,651.0,Jl. K.H. Abdul Hadi No.96A,Kota Serang,Banten,ID,,+62 254 7919329,Kafe,Kedai Kopi,,,,https://www.google.com/maps/search/?api=1&query=Kopijalu&query_place_id=ChIJt8GIfDL1QS4RIcM7GAMTHX4,Kafe,,,,,,
Ramen Naruto,4.3,4471.0,Jl. Lingkar Selatan No.83,Kota Serang,Banten,ID,,+62 811-1211-7007,Restoran Ramen,Restoran Mie,,,,https://www.google.com/maps/search/?api=1&query=Ramen%20Naruto&query_place_id=ChIJhTjqY8WKQS4RdDh3-bN8IDM,Restoran Ramen,,,,,,
Cafe Kebon Cau,4.5,1991.0,L Jl. Nyi Mas Gamparan No.14,Kota Serang,Banten,ID,,,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Kebon%20Cau&query_place_id=ChIJlzZiexP1QS4RPRmz23hJ1ww,Kedai Kopi,,,,,,
RM Indra Seafood Nancang,4.2,988.0,Jl. Raya Serang - Pandeglang No.KM.3,Kota Serang,Banten,ID,,+62 812-9919-684,Restoran Seafood,,,,,https://www.google.com/maps/search/?api=1&query=RM%20Indra%20Seafood%20Nancang&query_place_id=ChIJM0j2saqKQS4R7YpTmlcwpYs,Restoran Seafood,,,,,,
